subject,rehab,mercy,viva,4m,inmortal,dstop,yours,single,corazon,colgando
aa_m30,just_cover,just_cover,,,,,just_original,just_original,,just_original
mg_f30,original_cover_same,just_cover,original_cover_different,,original_cover_same,,,,,original_cover_same
nm_f40,just_cover,,,,,just_original,,original_cover_same,,original_cover_same
vr_m34,,,original_cover_same,,original_cover_same,just_original,just_original,original_cover_same,,original_cover_same
jf_m30,,,,,,original_cover_same,,,,original_cover_same
mp_f29,,,,,just_original,original_cover_same,,original_cover_different,just_original,
ms_f30,just_original,just_original,just_original,,,,original_cover_same,original_cover_same,,
mc_m29,just_original,original_cover_different,original_cover_different,original_cover_different,just_original,original_cover_same,,,original_cover_different,
ra_m30,just_cover,,,,,,,just_original,,original_cover_different
cg_f31,original_cover_same,original_cover_same,original_cover_same,,,just_original,,original_cover_same,just_original,
