subject,age,song,evoked_memory,valence,arousal,valence_arousal_length,vividness_score,sentiment,emotionality,text_length,writing_time,knowledge_first-time-heard,knowledge_knows-and-dislike,knowledge_knows-and-ocassionally-listens,knowledge_knows-and-listens,source_own-music-search,source_friend,source_family,source_ad
aa_m30,30,o_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
mg_f30,30,o_corazon,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,1
nm_f40,40,o_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
vr_m34,34,o_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
jf_m30,30,o_corazon,1,100,18,101.61,0,N,0.0,13,26,1,0,0,0,0,0,0,0
mp_f29,29,o_corazon,1,-27,-57,63.07,1,N,5.87,32,111,1,0,0,0,0,0,0,0
ms_f30,30,o_corazon,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0
mc_m29,29,o_corazon,1,-71,-66,96.94,2,N,1.71,25,49,0,0,0,0,0,0,0,1
ra_m30,33,o_corazon,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,1
cg_f31,31,o_corazon,1,-44,-42,60.83,1,P,5.71,15,11,0,1,0,0,0,1,0,0
aa_m30,30,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
mg_f30,30,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
nm_f40,40,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
vr_m34,34,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
jf_m30,30,c_corazon,1,-4,-100,100.08,0,N,0.0,1,7,1,0,0,0,0,0,0,0
mp_f29,29,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
ms_f30,30,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
mc_m29,29,c_corazon,1,-19,83,85.15,2,N,2.67,65,401,1,0,0,0,0,0,0,0
ra_m30,33,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
cg_f31,31,c_corazon,0,0,0,0,0,None,0,0,0,1,0,0,0,0,0,0,0
aa_m30,30,o_rehab,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,1
mg_f30,30,o_rehab,1,26,31,40.46,3,N,0.0,15,32,0,0,1,0,0,0,0,0
nm_f40,40,o_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,1
vr_m34,34,o_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,1
jf_m30,30,o_rehab,1,0,0,0.0,0,N,2.9,30,35,0,0,0,0,0,0,0,1
mp_f29,29,o_rehab,0,0,0,0,0,None,0,0,0,0,0,1,0,1,1,0,1
ms_f30,30,o_rehab,1,40,74,84.12,3,N,1.53,179,286,0,0,1,0,0,0,0,1
mc_m29,29,o_rehab,1,74,19,76.4,3,P,11.52,12,39,0,0,0,0,0,0,0,1
ra_m30,33,o_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,1
cg_f31,31,o_rehab,1,69,54,87.62,1,P,0.0,8,10,0,0,1,0,1,0,0,0
aa_m30,30,c_rehab,1,10,-15,18.03,2,N,1.37,29,39,0,1,0,0,0,0,0,1
mg_f30,30,c_rehab,1,27,13,29.97,3,P,5.71,13,28,0,0,1,0,0,0,0,1
nm_f40,40,c_rehab,1,21,24,31.89,2,P,0.0,18,24,0,0,1,0,0,0,0,1
vr_m34,34,c_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,1,1
jf_m30,30,c_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,1
mp_f29,29,c_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,1,0,1
ms_f30,30,c_rehab,1,19,-35,39.82,0,N,0.0,38,93,0,0,1,0,0,0,0,1
mc_m29,29,c_rehab,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,1
ra_m30,33,c_rehab,1,42,72,83.35,3,N,0.0,11,15,0,0,0,0,0,0,0,1
cg_f31,31,c_rehab,1,50,39,63.41,1,N,0.0,16,20,0,0,1,0,1,0,0,0
aa_m30,30,o_single,1,22,-18,28.43,1,N,0.0,11,13,0,1,0,0,0,0,0,1
mg_f30,30,o_single,0,0,0,0,0,None,0,0,0,0,0,1,0,0,0,0,1
